,src,dst,ts,label,idx
22324,33499,3175,32.0,0.0,383
91,23384,3653,32.0,0.0,445
107,27442,27440,32.0,0.0,480
89,23381,3653,32.0,0.0,442
88,23380,3653,32.0,0.0,441
87,23379,3653,32.0,0.0,440
22331,38337,27440,32.0,0.0,476
106,27441,27440,32.0,0.0,478
104,27439,27440,32.0,0.0,475
102,23398,3653,32.0,0.0,463
100,23395,3653,32.0,0.0,456
22329,37108,21335,32.0,0.0,424
101,23396,3653,32.0,0.0,457
98,23393,3653,32.0,0.0,454
97,23392,3653,32.0,0.0,453
96,23390,3653,32.0,0.0,451
95,23389,3653,32.0,0.0,450
94,23387,3653,32.0,0.0,448
93,23386,3653,32.0,0.0,447
92,23385,3653,32.0,0.0,446
22328,33987,3651,32.0,0.0,410
99,23394,3653,32.0,0.0,455
114,23404,3653,33.0,0.0,655
119,23410,3653,33.0,0.0,662
118,23409,3653,33.0,0.0,661
115,23405,3653,33.0,0.0,656
113,23403,3653,33.0,0.0,654
117,23408,3653,33.0,0.0,659
111,23401,3653,33.0,0.0,652
110,23400,3653,33.0,0.0,651
109,23399,3653,33.0,0.0,646
108,3224,3175,33.0,0.0,482
120,23411,3653,33.0,0.0,664
112,23402,3653,33.0,0.0,653
121,23413,3653,33.0,0.0,667
116,23407,3653,33.0,0.0,658
22332,33500,3175,33.0,0.0,483
123,23416,3653,33.0,0.0,670
124,23417,3653,33.0,0.0,671
125,23418,3653,33.0,0.0,686
122,23414,3653,33.0,0.0,668
126,23419,3653,34.0,0.0,719
127,23420,3653,34.0,0.0,720
129,23421,3653,34.0,0.0,724
130,27436,27437,35.0,0.0,1091
22351,34455,5762,35.0,0.0,803
134,23425,3653,36.0,0.0,1110
133,5764,5762,36.0,0.0,1100
22353,35793,12156,36.0,0.0,1103
22355,35795,12156,36.0,0.0,1105
61,24898,37870,36.0,1.0,1129
22354,35794,12156,36.0,0.0,1104
22357,33502,3175,37.0,0.0,1131
22356,33501,3175,37.0,0.0,1130
135,5765,5762,37.0,0.0,1133
22359,35796,12156,37.0,0.0,1134
22362,36618,17059,39.0,0.0,1142
22360,36271,15102,39.0,0.0,1139
22361,36272,15102,39.0,0.0,1140
144,20193,20195,40.0,0.0,1166
