,src,dst,ts,label,idx
169,3175,33448,21.0,1.0,169
180,3175,33453,21.0,1.0,180
181,3175,33454,21.0,1.0,181
182,3175,33452,21.0,1.0,182
183,3175,33455,21.0,1.0,183
184,3175,33456,21.0,1.0,184
185,3175,33457,21.0,1.0,185
186,3175,33458,21.0,1.0,186
187,3175,33459,21.0,1.0,187
188,3175,33460,21.0,1.0,188
179,3175,33450,21.0,1.0,179
168,3175,33447,21.0,1.0,168
157,3175,33436,21.0,1.0,157
166,3175,33445,21.0,1.0,166
146,3202,3175,21.0,0.0,146
147,221,3175,21.0,0.0,147
149,3203,3175,21.0,0.0,149
150,3175,33429,21.0,1.0,150
151,3175,33430,21.0,1.0,151
152,3175,33431,21.0,1.0,152
153,3175,33432,21.0,1.0,153
154,3175,33433,21.0,1.0,154
155,3175,33434,21.0,1.0,155
148,2693,3175,21.0,0.0,148
167,3175,33446,21.0,1.0,167
156,3175,33435,21.0,1.0,156
165,3175,33444,21.0,1.0,165
163,3175,33442,21.0,1.0,163
162,3175,33441,21.0,1.0,162
164,3175,33443,21.0,1.0,164
160,3175,33439,21.0,1.0,160
159,3175,33438,21.0,1.0,159
158,3175,33437,21.0,1.0,158
161,3175,33440,21.0,1.0,161
207,17815,17816,22.0,0.0,207
212,1892,20541,22.0,0.0,212
208,17816,35263,22.0,1.0,208
209,1892,20541,22.0,0.0,209
210,1892,20541,22.0,0.0,210
211,6009,20541,22.0,0.0,211
213,6009,20541,22.0,0.0,213
218,20541,35007,22.0,1.0,218
215,1892,20541,22.0,0.0,215
216,20541,35007,22.0,1.0,216
217,1892,20541,22.0,0.0,217
219,20541,35007,22.0,1.0,219
220,6009,20541,22.0,0.0,220
206,3175,33471,22.0,1.0,206
214,1892,20541,22.0,0.0,214
205,3175,33469,22.0,1.0,205
201,3175,33468,22.0,1.0,201
203,3175,33470,22.0,1.0,203
204,3175,33402,22.0,1.0,204
190,3175,33440,22.0,1.0,190
191,3175,33440,22.0,1.0,191
192,3175,33461,22.0,1.0,192
193,3204,3175,22.0,0.0,193
194,3175,33462,22.0,1.0,194
195,3175,33463,22.0,1.0,195
189,104,3175,22.0,0.0,189
197,3175,33465,22.0,1.0,197
198,3175,33466,22.0,1.0,198
199,3175,33466,22.0,1.0,199
200,3175,33467,22.0,1.0,200
202,3175,33469,22.0,1.0,202
196,3175,33464,22.0,1.0,196
226,20541,35007,23.0,1.0,226
225,17816,35263,23.0,1.0,225
224,3206,3175,23.0,0.0,224
222,221,3175,23.0,0.0,222
221,3205,3175,23.0,0.0,221
223,3175,33472,23.0,1.0,223
236,6009,20541,24.0,0.0,236
242,20541,35007,24.0,1.0,242
243,6009,20541,24.0,0.0,243
240,6009,20541,24.0,0.0,240
239,6009,20541,24.0,0.0,239
238,1892,20541,24.0,0.0,238
237,6009,20541,24.0,0.0,237
235,17816,35263,24.0,1.0,235
241,6009,20541,24.0,0.0,241
233,3208,3175,24.0,0.0,233
232,3207,3175,24.0,0.0,232
231,3175,33476,24.0,1.0,231
230,3175,33475,24.0,1.0,230
229,3175,33474,24.0,1.0,229
228,221,3175,24.0,0.0,228
227,3175,33473,24.0,1.0,227
234,17816,35263,24.0,1.0,234
254,20541,35007,25.0,1.0,254
253,6009,20541,25.0,0.0,253
252,6009,20541,25.0,0.0,252
251,1892,20541,25.0,0.0,251
250,6009,20541,25.0,0.0,250
247,3175,33479,25.0,1.0,247
248,3175,33480,25.0,1.0,248
246,221,3175,25.0,0.0,246
245,3175,33478,25.0,1.0,245
244,3175,33477,25.0,1.0,244
249,1892,20541,25.0,0.0,249
262,3175,33486,26.0,1.0,262
265,17816,35263,26.0,1.0,265
264,15102,32327,26.0,1.0,264
263,3175,33487,26.0,1.0,263
261,3175,33485,26.0,1.0,261
257,221,3175,26.0,0.0,257
259,3175,33483,26.0,1.0,259
258,3175,33482,26.0,1.0,258
256,3175,33481,26.0,1.0,256
255,138,3175,26.0,0.0,255
260,3175,33484,26.0,1.0,260
273,5758,5762,27.0,0.0,273
272,5757,5762,27.0,0.0,272
271,5757,5762,27.0,0.0,271
270,3211,3175,27.0,0.0,270
268,3210,3175,27.0,0.0,268
267,3175,33488,27.0,1.0,267
266,3209,3175,27.0,0.0,266
269,3175,33489,27.0,1.0,269
281,3175,33493,28.0,1.0,281
284,5759,5762,28.0,0.0,284
285,5760,5762,28.0,0.0,285
283,3216,3175,28.0,0.0,283
282,3215,3175,28.0,0.0,282
280,3175,33492,28.0,1.0,280
275,221,3175,28.0,0.0,275
278,3175,33491,28.0,1.0,278
277,3213,3175,28.0,0.0,277
276,3175,33490,28.0,1.0,276
274,3212,3175,28.0,0.0,274
279,3214,3175,28.0,0.0,279
293,23672,37682,29.0,1.0,293
291,3175,33495,29.0,1.0,291
290,3175,33494,29.0,1.0,290
292,1114,23672,29.0,0.0,292
288,221,3175,29.0,0.0,288
287,3218,3175,29.0,0.0,287
286,3217,3175,29.0,0.0,286
289,3219,3175,29.0,0.0,289
327,24911,24898,30.0,0.0,327
320,24907,24898,30.0,0.0,320
321,24898,24908,30.0,1.0,321
322,24908,24898,30.0,0.0,322
323,24909,24898,30.0,0.0,323
319,24898,24907,30.0,1.0,319
324,24910,24898,30.0,0.0,324
325,24898,37865,30.0,1.0,325
326,24898,37866,30.0,1.0,326
328,24898,37867,30.0,1.0,328
334,24898,32483,30.0,1.0,334
330,24898,32326,30.0,1.0,330
331,24898,32483,30.0,1.0,331
332,24898,32483,30.0,1.0,332
333,24898,32326,30.0,1.0,333
335,24898,5938,30.0,1.0,335
336,24912,24898,30.0,0.0,336
337,221,14588,30.0,0.0,337
338,14588,38249,30.0,0.0,338
318,24906,24898,30.0,0.0,318
329,24898,37867,30.0,1.0,329
317,24906,24898,30.0,0.0,317
296,3175,3518,30.0,1.0,296
315,24904,24898,30.0,0.0,315
294,3175,3518,30.0,1.0,294
316,24905,24898,30.0,0.0,316
297,3175,33496,30.0,1.0,297
298,3175,33497,30.0,1.0,298
299,3220,3175,30.0,0.0,299
300,3221,3175,30.0,0.0,300
301,5761,5762,30.0,0.0,301
302,24893,24898,30.0,0.0,302
303,24894,24898,30.0,0.0,303
304,24895,24898,30.0,0.0,304
295,3175,3518,30.0,1.0,295
306,24897,24898,30.0,0.0,306
305,24896,24898,30.0,0.0,305
313,24903,24898,30.0,0.0,313
312,24902,24898,30.0,0.0,312
311,24901,24898,30.0,0.0,311
314,24898,24904,30.0,1.0,314
309,24900,24898,30.0,0.0,309
308,24899,24898,30.0,0.0,308
307,24898,24899,30.0,1.0,307
310,24898,24901,30.0,1.0,310
362,3653,32327,31.0,1.0,362
369,24898,32326,31.0,1.0,369
363,3653,34420,31.0,1.0,363
364,3653,32483,31.0,1.0,364
365,3653,32335,31.0,1.0,365
366,24898,37868,31.0,1.0,366
367,24913,24898,31.0,0.0,367
368,24898,32326,31.0,1.0,368
370,24898,32326,31.0,1.0,370
376,24898,32330,31.0,1.0,376
372,24898,32327,31.0,1.0,372
374,24898,32333,31.0,1.0,374
375,24898,32312,31.0,1.0,375
377,24898,32330,31.0,1.0,377
378,24898,32325,31.0,1.0,378
